category,term,count,note
collision: T2,Light / Heavy,91,Prefix.Light / Prefix.Heavy (weight modifier) vs 'spirit of light' / illumination
collision: T2,Cursed / Curse,106,24 categories: debuff vs weapon-imbue vs narrative 'lift his curse'
collision: T2,Dye / Paint,224,two DIFFERENT game systems (character dyes vs block paint); never conflate
collision: T2,Gold / Golden,154,metal/coins vs 'Gold' critter variant (Gold Bunny/Worm = separate concept)
collision: T3,Defense / Defence,38,stat 'Defense' vs 'world defense' vs buff name 'Bast Defense'
collision: T3,Health / Life,45,two English words = one stat ('increase your health' vs 'life regeneration')
collision: T3,Master / Masterful,29,'Master mode' (difficulty) vs 'their master' (NPC) vs Prefix.Masterful
collision: T3,Seed,26,plant seeds vs WORLD seed (CLI / Anniversary / Remix seed)
collision: T3,Armor / Armour,35,stat vs 'suit of armor' vs Broken Armor buff
collision: T3,Broken,19,Prefix.Broken vs Broken Armor debuff vs item 'Broken Hero Sword'
collision: T3,Frozen,49,debuff vs ice-themed items ('Frozen Chest') vs 'Time Frozen'
collision: T3,Color / Gray / Grey / Centre,55,spelling variants - pick ONE Belarusian target per pair
collision: T4,Sentry / Sentinel,14,CommonItemTooltip.Sentry vs narrative 'a lethal sentry'
collision: T4,Pierce / Piercing / Penetration,6,'piercing bolts' vs 'armor penetration'
collision: T4,Buff,7,buff category vs 'Quick Buff' button vs verb 'stacking buffs'
collision: T4,Rod / Staff / Wand,83,all 'weapon' suffixes - need consistent word per type
collision: T4,Rock / Stone / Boulder,144,'Friendly Boulder' pet vs RPS 'rock' vs 'stone' blocks
collision: T4,Hide,24,tModLoader 'hide code/resources' vs 'hide armor' vs bestiary 'hide inside'
collision: T4,Trap,43,placed trap items (Dart/Flame Trap) vs verb 'placing traps' vs 'No Traps world'
collision: T4,Shadow,43,Shadow Orb/Candle/Mimic (Corruption items) vs 'shadow magic' vs 'spirits of light and dark'
collision: T4,Inferno,12,'Cursed Inferno' debuff vs 'Inferno' potion buff vs weapon 'Brand of the Inferno'
