Term [en],Description [en],Part of Speech [en],Status [en],Type [en],Gender [en],Note [en],Url [en],Term [be],Description [be],Part of Speech [be],Status [be],Type [be],Gender [be],Note [be],Url [be],Term [pl],Description [pl],Part of Speech [pl],Status [pl],Type [pl],Gender [pl],Note [pl],Url [pl],Term [ru],Description [ru],Part of Speech [ru],Status [ru],Type [ru],Gender [ru],Note [ru],Url [ru],Term [uk],Description [uk],Part of Speech [uk],Status [uk],Type [uk],Gender [uk],Note [uk],Url [uk],Concept Definition,Concept Subject,Concept Note,Concept Url,Concept Figure,Translatable
Harvey,,,,,,,,Харві,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Alex,,,,,,,,Алекс,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Jas,,,,,,,,Джас,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Leah,,,,,,,,Лея,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Rasmodius,,,,,,,,Размодыюс,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Marlon,,,,,,,,Мэрлан,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
JojaMart,,,,,,,,ДжоджаМарт,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Morris,,,,,,,,Морыс,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Krobus,,,,,,,,Кробус,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
ranch,,,,,,,,сядзіба,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
barn,,,,,,,,хлеў,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
wool,,,,,,,,воўна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
loom,,,,,,,,калаўрот,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
slurp,,,,,,,,сёрбае,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
gasp,,,,,,,,вохкае,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Vincent,,,,,,,,Вінцэнт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
dear,,,,,,,,шаноўны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
hun,,,,,,,,"котка, каток",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Honey,,,,,,,,мёд,Да таго што робяць пчолы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
community,,,,,,,,грамада,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Dusty,,,,,,,,Пылок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
pant,,,,,,,,затыхацца,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
kickflip,,,,,,,,кік-фліп,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Gil,,,,,,,,Гіл,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
gurgle,,,,,,,,булькатанне,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
amulet,,,,,,,,амулет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
town,,,,,,,,мястэчка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fern Islands,,,,,,,,астравы Папараці,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
dinner,,,,,,,,вячэра,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Good morning,,,,,,,,добры дзень,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Yoba,,,,,,,,Ёба,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
shadow people,,,,,,,,Ценявы народ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Dwarf,,,,,,,,красналюдак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
flower dance,,,,,,,,кветкавы баль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
mermaid's pendant,,,,,,,,русалчына падвеска,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
spice berry,,,,,,,,мучніца,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pepper Rex,,,,,,,,Перцазаўр рэкс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Serpent,,,,,,,,Вужака,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Rock Crab,,,,,,,,Каменны краб,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Quarry,,,,,,,,Кар’ер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Old Mariner,,,,,,,,стары марак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Lupini,,,,,,,,Люпіні,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Cannoli,,,,,,,,Каннолі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
tile,,,,,,,,каморка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
stool,,,,,,,,зэдаль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Brazier,,,,,,,,жарніца,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Heater,,,,,,,,грэйнік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Tapper,,,,,,,,смольніца,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Hopper,,,,,,,,кармавы кантэйнер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bait,,,,,,,,прынада,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
trinket,,,,,,,,бірулька,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Void,,,,,,,,пустэча,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Joja Cola,,,,,,,,Джоджа-Кола,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
tool,,,,,,,,снадзіва,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Mine,,,,,,,,капальня,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
slot,,,,,,,,ячэйка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Statue of Endless Fortune,,,,,,,,Статуя бясконцага багацця,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
shaft,,,,,,,,шахта,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Statue Of Uncertainty,,,,,,,,Статуя Няўпэўненасці,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
profession,,,,,,,,спецыялізацыя,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bun,,,,,,,,пампушка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
foraging,,,,,,,,збіранне,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
fishing,,,,,,,,рыбацтва,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
mining,,,,,,,,шахтарства,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
combat,,,,,,,,навыкі бою,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
MARILDA,,,,,,,,МарІЛДА,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
strawberry,,,,,,,,клубніцы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
sap,,,,,,,,жывіца,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Gunther,,,,,,,,Гюнтар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
pants,,,,,,,,штаны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Barrel,,,,,,,,бочка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Trout,,,,,,,,Стронга,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Sapling,,,,,,,,саджанец,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Joja,,,,,,,,Джоджа,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bookcase,,,,,,,,этажэрка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Junimo,,,,,,,,джуніма,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Community Center,,,,,,,,дом культуры,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Professor Snail,,,,,,,,прафесар Смаўжановіч,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
journal,,,,,,,,дзённік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Skill,,,,,,,,уменне,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
geode,,,,,,,,жэода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Level,,,,,,,,узровень,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Gem,,,,,,,,самацвет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
magi-seal,,,,,,,,магічная пячатка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Mr. Qi,,,,,,,,Спадар Кі,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Birthday,,,,,,,,народзіны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Syrup,,,,,,,,сіроп,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Junimo Kart,,,,,,,,Джуніма Карт,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
divorce,,,,,,,,роспуст,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bouncer,,,,,,,,Выкідала,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Governor,,,,,,,,Губернатар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Leo,,,,,,,,Леа,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Sam,,,,,,,,Сэм,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Welwick,,,,,,,,Уэлвік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fizz,,,,,,,,Фіз,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Ferngill Republic,,,,,,,,Рэспубліка Фэрнгіл,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Mystery Box,,,,,,,,Таямнічая скрыня,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Charm,,,,,,,,Кулон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Spangle,,,,,,,,Бліскотка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Gem Sea,,,,,,,,Самацветнае мора,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Boat,,,,,,,,Вадаплаў,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Cheese Press,,,,,,,,Сыраварня,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Shipping Bin,,,,,,,,Адпраўная скрыня,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Wumbus,,,,,,,,Вумбус,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Prairie Island,,,,,,,,востраў Прэрый,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Stardrop,,,,,,,,Знічкаўка,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pelican,,,,,,,,Пелікан,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Abby,,,,,,,,Эбі,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Silo,,,,,,,,Сіласная вежа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
desert,,,,,,,,пустэльня,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
futan bear,,,,,,,,плюшавы мядзьведзік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
dresser,,,,,,,,камода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
furnace,,,,,,,,домна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Cindersap Forest,,,,,,,,попельны лес,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Clinic,,,,,,,,клініка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Secret Notes,,,,,,,,таямнічыя нататкі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
fiber,,,,,,,,валокны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
mixed seeds,,,,,,,,мяшанае насенне,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Trout Derby,,,,,,,,стронгавае спадужніцтва,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
fishing bar,,,,,,,,палоска лоўлі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Anchovy,,,,,,,,хамса,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Apricot,,,,,,,,абрыкос,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Diamond,,,,,,,,дыямент,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
gulp,,,,,,,,каўтаць,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Woody's Secret,,,,,,,,сакрэты пушчы,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Woodcutter's Weekly,,,,,,,,разьбярскі штодзённік,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fair,,,,,,,,Кірмаш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Walnut,,,,,,,,гарэх,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Crimsonfish,,,,,,,,Барварыб,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Rainbow Trout,,,,,,,,пятэстая стронга,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Golden Tags,,,,,,,,залатая бірка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
tackle,,,,,,,,снасць,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Tunnelers,,,,,,,,Тунэльнікі,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Mullner,,,,,,,,Малнэр,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bundle,,,,,,,,набор,(DST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Watering Can,,,,,,,,палівачка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fishing Rod,,,,,,,,вуда,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Axe,,,,,,,,сякера,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Crystalarium,,,,,,,,крышталярыум,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
haunted maze,,,,,,,,прывідны лабірынт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
fish pond,,,,,,,,рыбная сажалка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
hic,,,,,,,,ікае,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Livin' Off The Land,,,,,,,,Зямля-карміліца,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Mountain Road,,,,,,,,Горны тракт,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Worm Bin,,,,,,,,бак з чарвямі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Ticket,,,,,,,,квіток,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Qi Bean,,,,,,,,боб Кі,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Qi Fruit,,,,,,,,плод Кі,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bobber,,,,,,,,плавок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bat,,,,,,,,кажан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Dust Sprite,,,,,,,,пыльны дух,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Grub,,,,,,,,лічынка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
leek,,,,,,,,парэй,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Prismatic,,,,,,,,Вясёлкавы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Lionfish,,,,,,,,крылатка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Stingray,,,,,,,,скат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Discus,,,,,,,,дыскус,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Shard,,,,,,,,аскепак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Deluxe,,,,,,,,дэлюксавы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Chest,,,,,,,,куфар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
altar room,,,,,,,,малельня,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Copper,,,,,,,,медзяны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Kale,,,,,,,,чорная капуста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
prize machine,,,,,,,,прызавы аўтамат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
experience,,,,,,,,досвед,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
sob,,,,,,,,усхліпвае,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Artisan,,,,,,,,рамесны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
lock-box,,,,,,,,сейф,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
blacksmith,,,,,,,,кузня,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
carrot,,,,,,,,морква,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
curator,,,,,,,,захавальнік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Dark Talisman,,,,,,,,Цёмны Талісман,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
ink,,,,,,,,атрамант,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
sewer,,,,,,,,каналізацыя,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
blackberry,,,,,,,,ажыны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Void Essence,,,,,,,,Пустэчная эсэнцыя,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fish Stew,,,,,,,,рыбная поліўка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
albacore,,,,,,,,альбакор,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
pufferfish,,,,,,,,вожык-рыба,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
starfruit,,,,,,,,карамбола,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
